institution_name,12_Month_Enrollment
Minnesota North College,614
Aveda Arts & Sciences Institute Minneapolis,780
Inver Hills Community College,1730
Minnesota North College - Itasca,675
Macalester College,2092
South Central College,1579
Minnesota State University-Mankato,11008
Mayo Clinic College of Medicine and Science,369
Minnesota North College - Mesabi Range Virginia,654
Metropolitan State University,3512
University of Minnesota-Twin Cities,30066
University of Minnesota-Crookston,1234
Minneapolis College of Art and Design,729
Minneapolis Community and Technical College,2840
Herzing University-Minneapolis,355
Nova Academy of Cosmetology Woodbury,147
University of Minnesota-Duluth,8493
University of Minnesota-Morris,1354
Model College of Hair Design,141
Minnesota State University Moorhead,4003
North Hennepin Community College,2259
Normandale Community College,4616
North Central University,1007
Northland Community and Technical College,1376
University of Northwestern-St Paul,2159
Northwestern Health Sciences University,199
Oak Hills Christian College,84
Pine Technical & Community College,431
Minnesota North College - Rainy River,179
Rochester Community and Technical College,2350
College of Saint Benedict,1751
St Cloud Technical and Community College,2347
Saint Cloud State University,7449
Saint Johns University,1619
Saint Mary's University of Minnesota,1145
St Olaf College,3120
Crown College,600
The College of Saint Scholastica,2223
University of St Thomas,6355
Empire Beauty School-Bloomington,199
St Catherine University,2203
Rasmussen University-Minnesota,2432
Saint Paul College,2803
Southwest Minnesota State University,1774
Summit Academy Opportunities Industrialization Center,939
Minnesota North College - Vermilion,475
Dunwoody College of Technology,1215
Ridgewater College,2026
Minnesota State College Southeast,849
Winona State University,6310
Century College,3943
Alcorn State University,2869
Belhaven University,1319
Blue Mountain Christian University,624
Chris Beauty College,145
Coahoma Community College,1634
Copiah-Lincoln Community College,2240
Delta Beauty College,31
Delta State University,2124
East Central Community College,2000
East Mississippi Community College,3506
Fosters Cosmetology College,23
Academy of Hair Design-Grenada,57
Hinds Community College,9034
Holmes Community College,3928
Itawamba Community College,3451
Jackson State University,4408
Jones County Junior College,3898
Meridian Community College,3001
Millsaps College,770
Mississippi Delta Community College,2285
University of Mississippi,16532
Mississippi University for Women,2414
Mississippi Valley State University,1527
Mississippi College,2579
Hatfield's Mississippi College of Beauty Culture,77
Mississippi Gulf Coast Community College,7269
Mississippi State University,18048
Northeast Mississippi Community College,3017
Northwest Mississippi Community College,4687
Pearl River Community College,4563
Rust College,653
Southeastern Baptist College,54
Southwest Mississippi Community College,2091
University of Southern Mississippi,10367
Magnolia College of Cosmetology,109
Tougaloo College,722
Vaughn Beauty College,32
William Carey University,2291
Avila University,1090
Mission University,217
House of Heavilin Beauty College-Blue Springs,180
Cox College,391
Calvary University,371
Cape Girardeau Career and Technology Center,144
Central Christian College of the Bible,153
Central Methodist University-College of Liberal Arts and Sciences,1151
University of Central Missouri,7255
Grand River Technical School,83
Cleveland University-Kansas City,64
Columbia College,4245
Conception Seminary College,43
Cottey College,265
Crowder College,2172
Culver-Stockton College,1015
Drury University,1483
East Central College,1239
Pinnacle Career Institute,662
Evangel University,1583
Fontbonne University,800
Four Rivers Career Center,55
Ozarks Technical Community College,7881
Hannibal-LaGrange University,730
Harris-Stowe State University,1445
House of Heavilin Beauty College-Kansas City,41
Summit Salon Academy Kansas City,89
Jefferson College,2063
Paul Mitchell the School-Missouri Columbia,148
Barnes-Jewish College Goldfarb School of Nursing,789
Kansas City Art Institute,710
Lake Career and Technical Center,9
Lex La-Ray Technical Center,74
Lincoln University,1806
Lindenwood University,5212
State Technical College of Missouri,1626
Logan University,192
Metropolitan Community College-Kansas City,8088
Lutheran School of Nursing,33
Maryville University of Saint Louis,3165
Missouri College of Cosmetology and Esthetics,93
Midwest Institute,398
Midwestern Baptist Theological Seminary,410
Mineral Area College,1815
Missouri Baptist University,1699
Missouri Southern State University,4304
Missouri Valley College,1433
Missouri Western State University,3354
University of Missouri-Columbia,21334
University of Missouri-Kansas City,6981
Missouri University of Science and Technology,5790
University of Missouri-St Louis,5817
Moberly Area Community College,2841
Neosho Beauty College,43
Truman State University,4371
Northwest Missouri State University,5262
Ozark Christian College,572
College of the Ozarks,1690
Park University,4763
Stevens-The Institute of Business & Arts,128
Poplar Bluff Technical Career Center,33
Ranken Technical College,1345
Research College of Nursing,395
Rockhurst University,1831
Rolla Technical Institute/Center,136
Saint Louis University,7059
Salem College of Hairstyling,48
American College of Hair Design Inc,42
Saint Louis Christian College,75
University of Health Sciences and Pharmacy in St. Louis,348
Saint Louis Community College,7067
Southwest Baptist University,1833
Missouri State University-West Plains,965
St Louis College of Health Careers-St Louis,269
State Fair Community College,2600
Stephens College,471
Southeast Missouri State University,7600
Missouri State University-Springfield,14474
Three Rivers College,1841
North Central Missouri College,753
Washington University in St Louis,7228
Webster University,2266
Westminster College,674
William Jewell College,763
William Woods University,748
Academy of Cosmetology Inc,45
Blackfeet Community College,344
Butte Academy of Beauty Culture,42
Highlands College of Montana Tech,353
Crevier's Academy of Cosmetology Arts,107
Carroll College,1160
Dawson Community College,384
Chief Dull Knife College,257
Montana State University Billings,2480
Flathead Valley Community College,792
Aaniiih Nakoda College,117
Fort Peck Community College,237
Great Falls College Montana State University,629
University of Providence,571
Helena College University of Montana,425
Little Big Horn College,259
Miles Community College,376
Montana Technological University,1257
Montana State University,12867
The University of Montana,5685
Montana State University-Northern,857
Rocky Mountain College,859
Salish Kootenai College,643
The University of Montana-Western,1212
Yellowstone Christian College,40
Bellevue University,6730
Clarkson College,416
Bryan College of Health Sciences,402
Central Community College,2178
Chadron State College,1536
College of Hair Design-Downtown,122
Concordia University-Nebraska,1229
Creighton University,4477
Doane University,1282
Hastings College,984
CHI Health School of Radiologic Technology,20
Joseph's College Cosmetology,191
University of Nebraska at Kearney,4055
Nebraska Methodist College of Nursing & Allied Health,478
Metropolitan Community College Area,6509
Mid-Plains Community College,837
Midland University,1158
University of Nebraska at Omaha,10646
Nebraska Indian Community College,82
University of Nebraska Medical Center,842
Nebraska Wesleyan University,1760
University of Nebraska-Lincoln,19561
Northeast Community College,2063
Peru State College,1216
Summit Christian College,15
College of Saint Mary,754
Southeast Community College Area,3961
Union Adventist University,811
Nebraska College of Technical Agriculture,235
Wayne State College,2741
Western Nebraska Community College,808
York University,411
Academy of Hair Design-Las Vegas,320
Career College of Northern Nevada,605
College of Southern Nevada,12327
Las Vegas College,349
University of Nevada-Las Vegas,20658
University of Nevada-Reno,15626
Great Basin College,1295
Sierra Nevada University,358
Truckee Meadows Community College,4296
Western Nevada College,1440
Colby-Sawyer College,847
Continental Academie of Hair Design-Hudson,37
Dartmouth College,4821
Empire Beauty School-Laconia,62
Empire Beauty School-Somersworth,161
Franklin Pierce University,1671
Keene Beauty Academy,60
Magdalen College,84
Michael's School of Hair Design & Esthetics,71
New England College,2456
New England School of Hair Design,28
Southern New Hampshire University,37626
New Hampshire Institute for Therapeutic Arts,27
University of New Hampshire-Main Campus,12299
Keene State College,3443
University of New Hampshire at Manchester,868
Plymouth State University,3751
NHTI-Concord's Community College,1456
White Mountains Community College,335
River Valley Community College,198
Lakes Region Community College,331
Manchester Community College,963
Nashua Community College,606
Great Bay Community College,684
Paul Mitchell the School-Portsmouth,75
Rivier University,975
Saint Anselm College,2032
St Joseph School of Nursing,74
University of New Hampshire College of Professional Studies Online,1319
Thomas More College of Liberal Arts,89
Eastwick College-Hackensack,613
Assumption College for Sisters,22
Atlantic Cape Community College,2385
Fortis Institute-Wayne,605
Bergen Community College,7658
Berkeley College-Woodland Park,2716
Beth Medrash Govoha,3566
Bloomfield College,1589
Brookdale Community College,6296
Rowan College at Burlington County,4307
Caldwell University,1602
Camden County College,5192
Centenary University,1107
Adult and Continuing Education-BCTS,215
Lincoln Technical Institute-Iselin,532
American Institute-Clifton,1016
County College of Morris,4228
Rowan College of South Jersey-Cumberland Campus,1411
Divers Academy International,66
Drew University,1716
Lincoln Technical Institute-South Plainfield,262
Essex County College,4610
Empire Beauty School-Union,112
Fairleigh Dickinson University-Metropolitan Campus,2212
Felician University,1821
Fairleigh Dickinson University-Florham Campus,2493
Hohokus School of Trade and Technical Sciences,196
Georgian Court University,1507
Rowan University,14963
Rowan College of South Jersey-Gloucester Campus,3960
Empire Beauty School-Cherry Hill,93
Eastwick College-Ramsey,462
Holy Name Medical Center-Sister Claire Tynan School of Nursing,21
Hudson County Community College,5392
New Jersey City University,5396
Joe Kubert School of Cartoon and Graphic Art,86
Kean University,10511
Lincoln Technical Institute-Union,1577
Rizzieri Aveda School for Beauty and Wellness,252
Mercer County Community College,2918
Middlesex College,5678
Monmouth University,4444
Montclair State University,15581
JFK Muhlenberg Harold B. and Dorothy A. Snyder Schools,65
Eastwick College-Nutley,444
Robert Fiance Beauty Schools-West New York,195
New Jersey Institute of Technology,7352
Ocean County College,4911
P B Cosmetology Education Center,143
Parisian Beauty School,502
Passaic County Community College,2856
Pennco Tech-Blackwood,612
Princeton University,5408
Rabbinical College of America,342
Ramapo College of New Jersey,5113
Robert Fiance Beauty Schools,64
Rider University,3643
Rutgers University-Camden,5148
Rutgers University-New Brunswick,36370
Rutgers University-Newark,8631
Capital Health School of Radiologic Technology,17
Capital Health School of Nursing,89
Saint Peter's University,2259
Salem Community College,728
Seton Hall University,6037
Shore Beauty School,133
Saint Elizabeth University,605
Raritan Valley Community College,3269
Stevens Institute of Technology,3675
Stockton University,8944
Talmudical Academy-New Jersey,75
Aviation Institute of Maintenance-Teterboro,388
Thomas Edison State University,92
The College of New Jersey,6979
"UCNJ Union College of Union County, NJ",4894
William Paterson University of New Jersey,6108
Olympian Academy of Cosmetology,1138
Central New Mexico Community College,6607
Navajo Technical University,1006
New Mexico State University-Dona Ana,3745
Clovis Community College,988
Eastern New Mexico University-Main Campus,2504
Eastern New Mexico University-Roswell Campus,1230
Institute of American Indian and Alaska Native Culture and Arts Development,278
New Mexico Highlands University,1258
New Mexico Junior College,831
New Mexico Military Institute,418
University of New Mexico-Gallup Campus,1034
New Mexico Institute of Mining and Technology,1205
University of New Mexico-Los Alamos Campus,178
University of New Mexico-Main Campus,13369
New Mexico State University-Alamogordo,400
Southeast New Mexico College,360
New Mexico State University-Grants,173
New Mexico State University-Main Campus,10239
University of New Mexico-Valencia County Campus,514
Northern New Mexico College,595
San Juan College,4089
Santa Fe Community College,1119
University of the Southwest,369
Southwestern Indian Polytechnic Institute,491
University of New Mexico-Taos Campus,282
Mesalands Community College,187
Vogue College of Cosmetology-Santa Fe,68
Western New Mexico University,1296
Vaughn College of Aeronautics and Technology,1563
Adelphi University,5343
SUNY Adirondack,2126
Bryant & Stratton College-Albany,383
Albany College of Pharmacy and Health Sciences,808
Alfred University,1731
Allen School-Brooklyn,422
The Ailey School,99
American Academy of Dramatic Arts-New York,284
American Academy McAllister Institute of Funeral Service,135
Joffrey Ballet School,169
American Musical and Dramatic Academy,2113
Apex Technical School,1498
Arnot Ogden Medical Center,21
Associated Beth Rivkah Schools,191
Bard College,2377
Barnard College,2738
Berk Trade and Business School,214
Berkeley College-New York,3195
Berkowits School of Electrolysis,105
Beth Hamedrash Shaarei Yosher Institute,81
Mount Sinai Phillips School of Nursing,214
Brittany Beauty Academy,104
Boricua College,920
Brittany Beauty Academy,156
American Beauty School,85
SUNY Broome Community College,3792
Bryant & Stratton College-Syracuse North,622
Bryant & Stratton College-Buffalo,971
Bryant & Stratton College-Greece,424
Canisius University,2176
Capri Cosmetology Learning Centers,169
St Paul's School of Nursing-Queens,861
Cayuga County Community College,1523
Cazenovia College,731
Central Yeshiva Tomchei Tmimim Lubavitz,616
"Christine Valmy International School for Esthetics, Skin Care & Makeup",296
Circle in the Square Theatre School,35
Clarkson University,3057
Clinton Community College,602
Cochran School of Nursing,22
Colgate University,3085
Metropolitan College of New York,836
Columbia University in the City of New York,7907
Columbia-Greene Community College,604
Empire Beauty School-Queens,153
Continental School of Beauty Culture-Rochester,311
The Cooper Union for the Advancement of Science and Art,879
Cornell University,15388
SUNY Corning Community College,1726
Pomeroy College of Nursing at Crouse Hospital,82
Culinary Institute of America,3538
CUNY Bernard M Baruch College,13344
CUNY Borough of Manhattan Community College,21181
CUNY Bronx Community College,7617
CUNY Brooklyn College,12362
College of Staten Island CUNY,10066
CUNY City College,10948
CUNY Graduate School and University Center,635
CUNY Hostos Community College,4621
CUNY Hunter College,14057
CUNY John Jay College of Criminal Justice,12389
CUNY Kingsborough Community College,8993
CUNY LaGuardia Community College,11913
CUNY Lehman College,9081
CUNY Medgar Evers College,4650
CUNY New York City College of Technology,11641
CUNY Queens College,13675
CUNY Queensborough Community College,9807
CUNY York College,5640
CVPH Medical Center School of Radiologic Technology,19
D'Youville  University,1299
Daemen University,1535
Yeshiva of Far Rockaway Derech Ayson Rabbinical Seminary,37
Dominican University New York,1211
Dutchess Community College,3893
Belanger School of Nursing,9
Elmira College,743
Erie Community College,7369
Fashion Institute of Technology,7802
Finger Lakes Community College,2624
Five Towns College,617
Fordham University,9434
Fulton-Montgomery Community College,1089
Gemological Institute of America-New York,165
Genesee Community College,2139
Hamilton College,2068
Hartwick College,1191
Helene Fuld College of Nursing,429
Herkimer County Community College,1471
Hilbert College,718
Hobart William Smith Colleges,2079
Hofstra University,6362
Houghton University,912
Hudson Valley Community College,6051
Hunter Business School,1099
Iona University,2783
Isabella Graham Hart School of Practical Nursing,349
Island Drafting and Technical Institute,98
Ithaca College,5854
Jamestown Community College,2191
Jamestown Business College,384
Jefferson Community College,1831
Jewish Theological Seminary of America,146
The Juilliard School,491
Kehilath Yakov Rabbinical Seminary,161
Keuka College,1207
LIM College,1252
Le Moyne College,2454
Long Island University,5993
Long Island Beauty School-Hempstead,84
Long Island Business Institute,1760
Machzikei Hadath Rabbinical College,205
Mandl School-The College of Allied Health,635
Manhattan College,3451
Manhattan School of Music,522
Manhattanville College,1472
Maria College of Albany,247
Marion S Whelan School of Nursing of Geneva General Hospital,17
Marist College,5285
Marymount Manhattan College,1725
Medaille University,1464
St. Peter's Hospital College of Nursing,22
Memorial Hospital School of Radiation Therapy Technology,25
Mercy University,6309
Mesivta Torah Vodaath Rabbinical Seminary,267
Mesivta of Eastern Parkway-Yeshiva Zichron Meilech,36
Mesivtha Tifereth Jerusalem of America,44
Midway Paris Beauty School,50
Mildred Elley School-Albany Campus,790
Mirrer Yeshiva Cent Institute,123
Modern Welding School,83
Mohawk Valley Community College,3450
Molloy College,3048
Monroe College,4803
Monroe Community College,8061
Mount Saint Mary College,1688
University of Mount Saint Vincent,1884
Nassau Community College,10558
Nazareth University,2230
Neighborhood Playhouse School of the Theater,70
The New School,7122
The New School Center for Media,67
New York School for Medical and Dental Assistants,522
New York University,27302
Niagara County Community College,3002
Niagara University,2785
Empire Beauty School-Peekskill,48
North Country Community College,860
New York Institute of Technology,3556
New York School of Interior Design,137
Alliance University,960
Ohr Hameir Theological Seminary,134
Onondaga Community College,4926
Orange County Community College,3038
Otsego Area BOCES-Practical Nursing Program,42
Pace University,8210
Paul Smiths College of Arts and Science,725
Continental School of Beauty Culture-West Seneca,125
Plaza College,1345
Davis College,38
Pratt Institute-Main,4530
Rabbinical Academy Mesivta Rabbi Chaim Berlin,158
Rabbinical College Bobover Yeshiva Bnei Zion,370
Rabbinical College Beth Shraga,53
Rabbinical Seminary Mkor Chaim,20
Rabbinical College of Long Island,167
Rabbinical Seminary of America,276
Rensselaer Polytechnic Institute,6856
Roberts Wesleyan University,1271
Rochester Institute of Technology,12560
University of Rochester,6604
Rockland Community College,3748
Empire Beauty School-Manhattan,453
Russell Sage College,1286
St Bonaventure University,1738
St. Francis College,2511
St. Joseph's College of Nursing,272
St Lawrence University,2406
The College of Saint Rose,2386
St. Thomas Aquinas College,1153
Samaritan Hospital School of Nursing,13
Sarah Lawrence College,1460
Schenectady County Community College,1778
Sh'or Yoshuv Rabbinical College,184
Siena College,3145
Skidmore College,2656
St. Joseph's University-New York,3738
Saint Elizabeth College of Nursing,95
St. John Fisher University,2645
St Paul's School of Nursing-Staten Island,846
St. John's University-New York,11758
Sullivan County Community College,894
SUNY College of Technology at Alfred,3628
SUNY College of Technology at Canton,2992
SUNY College of Technology at Delhi,2478
SUNY College of Agriculture and Technology at Cobleskill,2264
Farmingdale State College,8590
SUNY Morrisville,2389
University at Albany,13185
Binghamton University,14516
University at Buffalo,21339
Stony Brook University,17764
SUNY College of Environmental Science and Forestry,1791
SUNY Polytechnic Institute,2008
SUNY Brockport,6311
SUNY Buffalo State University,7304
State University of New York at Cortland,6503
SUNY at Fredonia,4245
SUNY College at Geneseo,5275
State University of New York at New Paltz,6675
SUNY Oneonta,6226
State University of New York at Oswego,6895
SUNY College at Potsdam,3087
SUNY at Purchase College,3860
SUNY Old Westbury,4545
SUNY College at Plattsburgh,4624
SUNY Downstate Health Sciences University,258
Empire State University,4166
SUNY Maritime College,1540
Upstate Medical University,170
Swedish Institute a College of Health Sciences,1080
Syracuse University,15025
Talmudical Seminary Oholei Torah,360
Talmudical Institute of Upstate New York,9
Tompkins Cortland Community College,1838
Torah Temimah Talmudical Seminary,29
Touro University,4086
Trocaire College,628
Ulster County Community College,1607
Union College,2195
United Talmudical Seminary,2020
United States Merchant Marine Academy,1286
United States Military Academy,4503
Utica University,3166
Vassar College,2573
Villa Maria College,482
School of Visual Arts,3894
Wagner College,1722
Webb Institute,103
Wells College,422
The College of Westchester,1012
SUNY Westchester Community College,6710
Westchester School of Beauty Culture,84
Word of Life Bible Institute,776
Yeshiva Karlin Stolin,130
Yeshiva Derech Chaim,91
Yeshiva of Nitra Rabbinical College,196
Yeshivath Shaar Hatorah,77
Yeshiva University,2797
Yeshivath Viznitz,665
Yeshivath Zichron Moshe,191
College of the Albemarle,905
South Piedmont Community College,745
Appalachian State University,17205
Asheville-Buncombe Technical Community College,2459
Barton College,1027
Beaufort County Community College,648
Belmont Abbey College,1425
Bennett College,306
Bladen Community College,543
Blue Ridge Community College,920
Brevard College,755
Brunswick Community College,633
Cabarrus College of Health Sciences,189
Caldwell Community College and Technical Institute,1586
Campbell University,3517
Cape Fear Community College,3488
Carolina School of Broadcasting,47
Carteret Community College,488
Catawba College,1230
Catawba Valley Community College,1764
Central Carolina Community College,2458
Central Piedmont Community College,5869
Chowan University,1309
Cleveland Community College,901
Coastal Carolina Community College,1810
Craven Community College,722
Davidson-Davie Community College,1747
Davidson College,2022
Duke University,7215
Durham Technical Community College,1235
East Carolina University,19837
Edgecombe Community College,427
Elizabeth City State University,1620
Elon University,6165
Fayetteville Technical Community College,7532
Fayetteville State University,4455
Forsyth Technical Community College,3504
Gardner-Webb University,1761
Gaston College,1992
Greensboro College,755
Guilford College,1416
Guilford Technical Community College,5268
Halifax Community College,518
Haywood Community College,669
Heritage Bible College,60
High Point University,4619
Isothermal Community College,750
James Sprunt Community College,327
Johnson C Smith University,1451
Johnston Community College,1932
Lees-McRae College,842
Lenoir Community College,867
Lenoir-Rhyne University,1626
Leons Beauty School Inc,247
Livingstone College,1216
Louisburg College,567
Mars Hill University,1021
Martin Community College,229
Mayland Community College,289
McDowell Technical Community College,305
Meredith College,1501
Methodist University,1591
Miller-Motte College-Wilmington,3767
Mitchell Community College,1123
Mitchells Academy,11
Montgomery Community College,358
Montreat College,617
University of Mount Olive,1997
College of Wilmington,243
Nash Community College,1325
North Carolina A & T State University,10344
University of North Carolina Asheville,3212
University of North Carolina at Chapel Hill,18765
University of North Carolina at Charlotte,22055
University of North Carolina at Greensboro,14726
North Carolina Central University,5253
University of North Carolina School of the Arts,904
North Carolina State University at Raleigh,23561
North Carolina Wesleyan University,1591
University of North Carolina Wilmington,13314
Pamlico Community College,244
William Peace University,860
University of North Carolina at Pembroke,5472
Pfeiffer University,865
Piedmont Community College,536
Pitt Community College,4171
Queens University of Charlotte,1686
Randolph Community College,1063
Richmond Community College,1093
Mid-Atlantic Christian University,174
Roanoke-Chowan Community College,167
Robeson Community College,894
Rockingham Community College,726
Rowan-Cabarrus Community College,2717
Saint Augustine's University,924
Salem College,475
Sampson Community College,641
Sandhills Community College,1467
Shaw University,1119
Paul Mitchell the School-Fayetteville,221
St. Andrews University,694
Southeastern Community College,428
Southwestern Community College,779
Stanly Community College,642
Southeastern Baptist Theological Seminary,376
Surry Community College,1265
Alamance Community College,1805
Tri-County Community College,487
Vance-Granville Community College,1099
Wake Forest University,5291
Wake Technical Community College,9936
Warren Wilson College,718
Watts College of Nursing,147
Wayne Community College,1806
Western Piedmont Community College,754
Wilkes Community College,1071
Wilson Community College,552
Wingate University,2775
Carolina Christian College,60
Winston Salem Barber School,174
Winston-Salem State University,4279
Western Carolina University,9341
Rasmussen University-North Dakota,525
Bismarck State College,2241
Dickinson State University,989
Nueta Hidatsa Sahnish College,150
"Josef's School of Hair, Skin & Body-Grand Forks",77
University of Jamestown,907
Lake Region State College,613
Cankdeska Cikana Community College,130
University of Mary,1836
Mayville State University,633
Minot State University,2037
University of North Dakota,7938
North Dakota State College of Science,1690
Dakota College at Bottineau,420
North Dakota State University-Main Campus,9960
Williston State College,676
Sitting Bull College,291
Trinity Bible College and Graduate School,146
Turtle Mountain Community College,554
United Tribes Technical College,455
Valley City State University,980
ETI Technical College,142
Herzing University-Akron,403
University of Akron Main Campus,12105
University of Akron Wayne College,530
Allegheny Wesleyan College,52
Apollo Career Center,327
Art Academy of Cincinnati,218
Ashland County-West Holmes Career Center,27
Ashland University,2874
Ashtabula County Technical and Career Campus,81
Auburn Career Center,97
Aultman College of Nursing and Health Sciences,138
Baldwin Wallace University,2897
Belmont College,397
Bluffton University,660
Bowling Green State University-Firelands,1108
Bowling Green State University-Main Campus,13540
Bryant & Stratton College-Parma,835
Buckeye Hills Career Center,106
Butler Technology and Career Development Schools,884
Canton City Schools Adult Career and Technical Education,109
Capital University,2571
Case Western Reserve University,5308
Cedarville University,3557
Central Ohio Technical College,834
Central School of Practical Nursing,103
Central State University,2065
Chatfield College,122
Choffin Career  and Technical Center,102
The Christ College of Nursing and Health Sciences,714
Cincinnati College of Mortuary Science,121
University of Cincinnati-Main Campus,23562
Cincinnati State Technical and Community College,2884
University of Cincinnati-Clermont College,2245
University of Cincinnati-Blue Ash College,4089
Ohio Christian University,1891
Clark State College,1446
Cleveland Institute of Art,643
Cleveland Institute of Music,232
Cleveland State University,9395
Columbiana County Career and Technical Center,187
Columbus College of Art & Design,1057
Columbus State Community College,8401
Cuyahoga Community College District,8723
Davis College,37
Dayton Barber College,44
University of Dayton,8133
Defiance College,489
Denison University,2379
Edison State Community College,1052
EHOVE Career Center,202
The University of Findlay,2239
Franklin University,1629
Gerbers Akron Beauty School,53
Gods Bible School and College,149
Good Samaritan College of Nursing and Health Science,118
Great Oaks Career Campuses,331
Hannah E Mullins School of Practical Nursing,121
Adult and Community Education-Hudson,102
Heidelberg University,1079
Hiram College,827
Hobart Institute of Welding Technology,582
Hocking College,1991
Ross Medical Education Center-Cincinnati,200
International College of Broadcasting,117
Eastern Gateway Community College,6956
John Carroll University,2953
Hondros College of Nursing,2189
Casal Aveda Institute,78
Kent State University at Ashtabula,457
Kent State University at East Liverpool,100
Kent State University at Stark,1886
Kent State University at Trumbull,613
Kent State University at Tuscarawas,787
Kent State University at Salem,562
Kent State University at Kent,19799
Kent State University at Geauga,556
Kenyon College,1816
Kettering College,526
Lake Erie College,703
Lakeland Community College,2919
Collins Career Technical Center,477
James A. Rhodes State College,714
Ohio Business College-Sheffield,298
Ohio Business College-Sandusky,193
Lorain County Community College,3048
Lourdes University,858
Malone University,941
Marietta College,1125
Marion Technical College,776
Medina County Career Center,51
Mercy College of Ohio,401
Miami University-Hamilton,1914
Miami University-Middletown,1345
Miami University-Oxford,16950
Moler Hollywood Beauty Academy,35
Miami Valley Career Technology Center,322
Mount Carmel College of Nursing,661
University of Mount Union,2030
Mount Vernon Nazarene University,2283
Mount St. Joseph University,1064
Zane State College,965
Muskingum University,1437
National Beauty College,4
North Central State College,916
Northern Institute of Cosmetology,64
Northwest State Community College,618
Toledo Public Schools Adult and Continuing Education,216
Notre Dame College,1213
University of Northwestern Ohio,2962
Oberlin College,2918
Ohio Technical College,770
Ohio Dominican University,901
Ohio Northern University,2127
Ohio State University Agricultural Technical Institute,547
Ohio State University-Lima Campus,890
Ohio State University-Mansfield Campus,972
Ohio State University-Marion Campus,1136
Ohio State University-Newark Campus,2708
Ohio State Beauty Academy,106
Ohio State College of Barber Styling,346
The Spa School,212
Ohio State School of Cosmetology-Canal Winchester,119
Ohio State University-Main Campus,43941
Ohio University-Eastern Campus,352
Ohio University-Chillicothe Campus,1068
Ohio University-Southern Campus,827
Ohio University-Lancaster Campus,1013
Ohio University-Main Campus,16881
Ohio University-Zanesville Campus,767
East Ohio College,276
Trinity Health System School of Nursing,21
Ohio Wesleyan University,1613
Otterbein University,2382
Owens Community College,2833
Paramount Beauty Academy,89
Cuyahoga Valley Career Center,76
Pontifical College Josephinum,67
Professional Skills Institute,611
Firelands Regional Medical Center School of Nursing,81
Rabbinical College Telshe,36
Raphael's School of Beauty Culture Inc-Niles,212
Fortis College-Centerville,647
University of Rio Grande,1210
The Modern College of Design,210
Shawnee State University,2911
Sinclair Community College,5487
Hussian College-Daymar College Columbus,98
Stark State College,2957
Stautzenberger College-Maumee,1055
Franciscan University of Steubenville,2139
Southern State Community College,796
Terra State Community College,721
Tiffin Academy of Hair Design,38
Tiffin University,1782
University of Toledo,13299
Tri-State Bible College,11
Tri-County Adult Career Center,67
Tri-Rivers Career Center,103
Union Institute & University,383
Upper Valley Career Center,62
Ursuline College,549
The North Coast College,40
Walsh University,1819
Washington State Community College,774
Wilberforce University,563
Wilmington College,1207
Wittenberg University,1535
The College of Wooster,1972
Wright State University-Main Campus,7688
Wright State University-Lake Campus,926
Xavier University,5079
Youngstown State University,9040
Bacone College,252
Oklahoma Wesleyan University,505
Southern Nazarene University,1148
Pontotoc Technology Center,68
Cameron University,2860
Carl Albert State College,1257
Central Oklahoma College,291
University of Central Oklahoma,9746
Connors State College,1491
East Central University,2786
Eastern Oklahoma State College,838
Redlands Community College,666
Formations Institute,55
Eves College of Hairstyling,152
Randall University,308
Langston University,1992
Murray State College,1118
Spartan College of Aeronautics and Technology,880
Northeastern State University,4866
Northern Oklahoma College,1902
Northeastern Oklahoma A&M College,1518
Northwestern Oklahoma State University,1440
Oklahoma Christian University,1716
University of Oklahoma-Health Sciences Center,916
Oklahoma Panhandle State University,1054
Oklahoma State University-Main Campus,18145
Oklahoma State University-Oklahoma City,1941
Oklahoma Baptist University,1716
Oklahoma City Community College,5061
Oklahoma City University,1607
University of Oklahoma-Norman Campus,19906
Oklahoma State University Institute of Technology,1954
Oral Roberts University,2798
Rogers State University,2570
Rose State College,3172
Jenks Beauty College,90
University of Science and Arts of Oklahoma,792
Seminole State College,972
Southern School of Beauty Inc,24
Southeastern Oklahoma State University,2673
Southwestern Christian University,421
Southwestern Oklahoma State University,3635
Tulsa Community College,6718
Tulsa Welding School-Tulsa,1400
University of Tulsa,3256
Western Oklahoma State College,638
Formations Institute of Cosmetology & Barbering,59
High Plains Technology Center,32
Blue Mountain Community College,936
Central Oregon Community College,2348
Chemeketa Community College,4455
Clackamas Community College,2365
Clatsop Community College,617
College of Hair Design Careers,96
Concorde Career College-Portland,755
Sumner College,615
Eastern Oregon University,1824
New Hope Christian College-Eugene,90
George Fox University,2479
Phagans Grants Pass College of Beauty,85
Lane Community College,4298
Lewis & Clark College,1934
Linfield University,1414
Linn-Benton Community College,2655
Northwest College-Beaverton,96
Phagans Medford Beauty School,52
Northwest College-Clackamas,76
Mount Angel Seminary,38
Mt Hood Community College,3512
Multnomah University,327
National University of Natural Medicine,38
Bushnell University,496
Oregon Health & Science University,434
Oregon Institute of Technology,2487
Oregon State University,19521
University of Oregon,18326
Pacific Northwest College of Art,523
Pacific University,1764
Phagans Beauty College,95
Phagans Central Oregon Beauty College,167
Phagans School of Beauty,88
Phagans School of Hair Design,236
Summit Salon Academy-Portland,109
Portland Community College,12842
Portland State University,15441
University of Portland,3830
